Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
1,Iga Swiatek [POL],63,51-12,81.0%,63.1%,63.8%,113,3.0%,105,2.8%,8.3%,66.4%,68.0%,53.5%,58.3%,79.1%,6.2,2.3
2,Aryna Sabalenka [BLR],57,43-14,75.4%,60.5%,62.5%,315,7.6%,322,7.8%,19.4%,60.0%,70.5%,45.7%,56.7%,75.8%,6.6,2.6
3,Jessica Pegula [USA],64,46-18,71.9%,60.0%,61.1%,149,3.6%,168,4.0%,9.7%,58.9%,66.6%,50.7%,56.2%,72.6%,6.5,2.6
4,Elena Rybakina [KAZ],66,49-17,74.2%,63.6%,61.9%,475,10.8%,167,3.8%,8.7%,56.3%,73.9%,50.4%,55.2%,79.6%,6.5,2.4
5,Caroline Garcia [FRA],79,58-21,73.4%,64.2%,63.2%,518,9.0%,215,3.7%,9.5%,60.8%,73.4%,49.8%,55.1%,83.0%,6.5,2.3
6,Cori Gauff [USA],57,37-20,64.9%,59.5%,60.3%,249,6.7%,211,5.7%,15.9%,64.1%,66.8%,46.5%,55.3%,72.3%,6.6,2.7
7,Ons Jabeur [TUN],47,33-14,70.2%,59.8%,59.6%,172,5.5%,104,3.3%,7.8%,57.1%,68.9%,47.7%,51.7%,71.9%,6.4,2.6
8,Maria Sakkari [GRE],60,38-22,63.3%,59.8%,60.7%,256,5.6%,233,5.1%,12.4%,58.7%,67.7%,48.5%,55.4%,73.6%,6.6,2.6
9,Daria Kasatkina [RUS],53,30-23,56.6%,54.4%,56.5%,66,1.7%,195,5.1%,18.3%,72.2%,59.9%,40.1%,49.1%,60.1%,6.8,3.1
10,Petra Kvitova [CZE],47,34-13,72.3%,62.4%,64.4%,249,7.4%,243,7.2%,19.5%,63.0%,70.4%,48.6%,60.4%,78.0%,6.6,2.5
11,Veronika Kudermetova [RUS],53,34-19,64.2%,60.7%,59.5%,293,7.6%,122,3.2%,8.3%,62.1%,67.8%,49.0%,53.5%,73.0%,6.3,2.5
12,Belinda Bencic [SUI],54,40-14,74.1%,62.6%,64.3%,189,5.2%,202,5.5%,14.8%,62.7%,70.6%,49.0%,57.6%,77.9%,6.4,2.4
13,Barbora Krejcikova [CZE],56,36-20,64.3%,60.3%,62.5%,176,4.8%,230,6.3%,15.8%,60.2%,69.2%,46.9%,55.8%,74.2%,6.5,2.6
14,Beatriz Haddad Maia [BRA],59,37-22,62.7%,60.5%,61.8%,143,3.6%,174,4.4%,13.4%,67.1%,65.9%,49.4%,57.1%,73.9%,6.7,2.6
15,Liudmila Samsonova [RUS],48,32-16,66.7%,63.0%,62.5%,296,9.3%,148,4.6%,10.3%,54.7%,73.3%,50.7%,56.4%,78.2%,6.3,2.3
16,Karolina Pliskova [CZE],50,28-22,56.0%,59.3%,60.3%,298,8.5%,253,7.2%,20.3%,64.5%,69.2%,41.4%,51.9%,72.6%,6.6,2.7
17,Jelena Ostapenko [LAT],57,36-21,63.2%,57.7%,59.7%,183,4.7%,252,6.4%,15.0%,57.2%,66.3%,46.2%,54.3%,68.3%,6.6,2.8
18,Victoria Azarenka [BLR],37,23-14,62.2%,58.2%,60.6%,95,3.5%,167,6.2%,17.2%,63.9%,67.3%,42.2%,51.0%,69.6%,6.8,2.8
19,Qinwen Zheng [CHN],45,27-18,60.0%,62.0%,61.9%,316,10.0%,187,5.9%,12.8%,53.6%,75.0%,47.0%,53.9%,78.4%,6.5,2.5
20,Madison Keys [USA],44,27-17,61.4%,59.2%,58.8%,172,6.0%,101,3.5%,9.9%,64.7%,65.5%,47.7%,52.9%,70.2%,6.4,2.6
21,Magda Linette [POL],60,35-25,58.3%,59.9%,59.7%,177,4.4%,103,2.5%,7.4%,65.8%,65.1%,49.9%,53.9%,71.2%,6.5,2.6
22,Donna Vekic [CRO],46,29-17,63.0%,59.3%,61.7%,185,5.7%,243,7.5%,17.1%,56.4%,68.8%,47.0%,56.7%,73.3%,6.7,2.7
23,Ekaterina Alexandrova [RUS],41,24-17,58.5%,59.1%,62.3%,191,6.2%,274,8.9%,20.3%,56.4%,69.9%,45.3%,56.8%,70.6%,6.6,2.7
24,Martina Trevisan [ITA],41,17-24,41.5%,51.8%,54.2%,23,0.9%,136,5.1%,14.6%,64.8%,56.8%,42.5%,49.8%,54.1%,6.8,3.3
25,Anastasia Potapova [RUS],53,34-19,64.2%,56.1%,58.5%,84,2.1%,224,5.6%,14.4%,61.5%,63.0%,45.1%,52.7%,64.5%,6.7,2.9
26,Anhelina Kalinina [UKR],48,28-20,58.3%,57.4%,59.5%,109,3.1%,198,5.7%,14.9%,62.1%,63.6%,47.2%,55.5%,68.0%,6.8,2.9
27,Irina Camelia Begu [ROU],41,27-14,65.9%,58.4%,60.7%,113,4.2%,176,6.5%,19.4%,66.6%,64.7%,45.9%,56.9%,67.8%,6.5,2.7
28,Elise Mertens [BEL],50,27-23,54.0%,57.9%,61.6%,179,5.4%,312,9.4%,21.4%,56.4%,68.0%,44.9%,57.1%,68.0%,6.4,2.7
29,Paula Badosa [ESP],44,25-19,56.8%,59.2%,60.7%,153,5.0%,177,5.7%,14.1%,59.3%,65.9%,49.4%,57.5%,71.3%,6.7,2.7
30,Sloane Stephens [USA],42,22-20,52.4%,57.0%,57.8%,64,2.2%,88,3.0%,10.0%,69.7%,61.6%,46.4%,51.5%,65.5%,6.5,2.8
31,Shuai Zhang [CHN],52,28-24,53.8%,58.8%,59.5%,101,2.9%,106,3.1%,9.4%,67.0%,64.5%,47.2%,52.1%,70.2%,6.5,2.7
32,Sorana Cirstea [ROU],43,25-18,58.1%,59.0%,59.4%,117,3.9%,102,3.4%,8.7%,61.4%,66.3%,47.4%,51.9%,70.5%,6.6,2.7
33,Marie Bouzkova [CZE],43,25-18,58.1%,58.3%,58.8%,84,3.1%,83,3.0%,9.3%,67.4%,62.1%,50.4%,55.5%,68.5%,6.7,2.8
34,Shelby Rogers [USA],35,17-18,48.6%,59.9%,59.9%,141,5.4%,97,3.7%,9.5%,60.7%,68.0%,47.3%,52.3%,72.1%,6.3,2.5
35,Simona Halep [ROU],23,19-4,82.6%,60.8%,63.3%,71,5.0%,96,6.8%,16.8%,59.5%,69.6%,47.8%,57.5%,72.8%,6.2,2.4
36,Bernarda Pera [USA],47,28-19,59.6%,58.0%,60.4%,150,4.4%,234,6.9%,18.3%,62.3%,65.6%,45.5%,55.6%,70.2%,6.8,2.9
37,Camila Giorgi [ITA],35,21-14,60.0%,57.9%,61.9%,102,4.2%,222,9.0%,20.5%,56.0%,67.0%,46.3%,58.3%,67.3%,6.5,2.7
38,Petra Martic [CRO],46,26-20,56.5%,60.9%,61.3%,214,6.7%,154,4.8%,11.7%,58.8%,69.3%,49.0%,55.5%,75.2%,6.5,2.5
39,Marta Kostyuk [UKR],48,29-19,60.4%,57.6%,60.5%,176,5.2%,279,8.2%,19.4%,57.6%,68.1%,43.4%,53.8%,68.8%,6.6,2.8
40,Lin Zhu [CHN],39,22-17,56.4%,55.4%,56.3%,54,2.0%,86,3.1%,8.9%,65.2%,60.6%,45.6%,50.1%,62.0%,6.8,3.0
41,Varvara Gracheva [RUS],56,29-27,51.8%,57.1%,58.5%,91,2.2%,165,4.0%,10.8%,62.7%,62.6%,47.8%,53.5%,66.9%,6.8,2.9
42,Bianca Andreescu [CAN],40,22-18,55.0%,57.8%,58.9%,81,2.9%,105,3.7%,10.7%,65.0%,62.5%,49.3%,55.2%,68.6%,6.7,2.8
43,Karolina Muchova [CZE],37,22-15,59.5%,59.9%,60.2%,116,4.7%,91,3.7%,10.0%,63.0%,66.0%,49.3%,54.8%,73.9%,6.6,2.7
44,Elisabetta Cocciaretto [ITA],53,29-24,54.7%,56.3%,57.5%,63,1.8%,123,3.4%,10.4%,67.0%,59.7%,49.4%,55.1%,64.6%,6.6,2.9
45,Alycia Parks [USA],39,23-16,59.0%,61.8%,64.3%,332,12.0%,292,10.6%,24.9%,57.5%,71.6%,48.4%,64.4%,76.1%,6.5,2.5
46,Danielle Collins [USA],34,18-16,52.9%,59.1%,62.0%,131,5.0%,202,7.8%,17.7%,55.9%,68.4%,47.3%,57.4%,71.1%,6.8,2.8
47,Ajla Tomljanovic [AUS],30,18-12,60.0%,56.7%,58.8%,72,3.5%,121,5.9%,15.3%,61.4%,64.9%,43.7%,51.6%,66.4%,6.7,2.9
48,Katerina Siniakova [CZE],37,20-17,54.1%,55.4%,58.0%,60,2.7%,143,6.4%,18.3%,64.8%,61.4%,44.3%,54.2%,62.2%,6.5,2.9
49,Leylah Fernandez [CAN],35,17-18,48.6%,59.4%,62.0%,75,4.0%,122,6.6%,16.9%,61.1%,64.6%,51.3%,61.7%,71.0%,6.4,2.6
50,Linda Noskova [CZE],28,16-12,57.1%,58.9%,60.0%,95,4.6%,102,5.0%,13.5%,63.3%,66.7%,45.5%,52.6%,72.7%,6.9,2.8
,Average,,,61.9%,59.3%,60.5%,,5.1%,,5.3%,13.9%,61.7%,66.7%,47.4%,55.0%,71.4%,6.6,2.7
,,,,,,,,,,,,,,,,,,
,Average,,,61.9%,59.3%,60.5%,,5.1%,,5.3%,13.9%,61.7%,66.7%,47.4%,55.0%,71.4%,6.6,2.7
